門市名稱,電話,經緯度座標,地址,營業時間,開始時間,結束時間
彰化中興門市,04-7235-886,"24.0699929,120.545045",彰化縣彰化市中興路136之1號,週一至週日07:00-17:00,07:00,17:00
鹿港中山門市,04-777-3431,"24.0557296,120.4342709",彰化縣鹿港鎮中山路246號,週一至週日7:30-18:30,7:30,18:30
員林莒光門市,04-839-3613,"23.9598384,120.5647479",彰化縣員林市莒光路328號,週一至週日07:00-21:30,07:00,21:30
彰化巫家門市,04-885-0227,"23.9723004,120.4758866",彰化縣溪湖鎮彰水路四段439巷151號,週一至週日09:00-19:00,09:00,19:00
彰化彰美門市,04-722-1691,"24.0882596,120.5382308",彰化縣彰化市彰美路一段159號,週一至週日07:00-20:00,07:00,20:00
員林中山門市,04-831-0520,"23.958652999816685,120.57064558364073",彰化縣員林市中山路一段785號,週一至週日07:00-21:00,07:00,21:00
彰化北斗門市,04-887-7585,"23.8747093,120.515732",彰化縣北斗鎮中山路二段57號,週一至週日07:00-22:00,07:00,22:00
員林大同96門市,04-8336683,"23.9688263,120.5776995",彰化縣員林市大同路二段96號,週一至週日7:30~19:30,,
彰化田中門市,04-8748-668,"23.860872,120.5813597",彰化縣田中鎮斗中路一段163號,週一至週日07:00-18:00,07:00,18:00
嘉義博愛門市,05-283-7218,"23.465408367874012,120.4247706108529",嘉義市西區博愛路二段864號1樓,周一、周三至周日6:00-21:00<br>周二6:00-18:00,6:00,21:00
嘉義圓環門市,05-225-0613,"23.4800855,120.4471696",嘉義市西區中山路294號,週一至週日07:30-21:00,07:30,21:00
嘉義垂楊門市,05-222-3295,"23.4739897,120.4502504",嘉義市西區垂楊路394、396、398號,週一至週日07:00-20:00,07:00,20:00
民雄頭橋門市,05-221-9908,"23.526655,120.44339",嘉義縣民雄鄉福樂村埤角221號,週一至週日7:00-21:00,7:00,21:00
阿里山觸口門市,05-2590019,"23.441793,120.596785",嘉義縣番路鄉觸口村車埕51號,週一至週日7:30~17:30,,
新竹遠百門市,03-522-1668,"24.802141325439088,120.96583462541979",新竹市西區西大路360號1-3樓,週一至週日07:00-21:00,07:00,21:00
新竹關新直營門市,03-577-0157,"24.786727864893496,121.01941749733602",新竹市東區關新路158號1樓,週一至週日07:30-21:30,07:30,21:30
新竹武陵門市,03-545-3123,"24.8211372,120.9661746",新竹市北區武陵路173-3號,週一至週日07:00-18:00,07:00,18:00
新竹建中門市,03-572-9777,"24.8014841,120.9927314",新竹市東區建中路71號,週一至週日07:00-21:00,07:00,21:00
新竹關埔門市,03-577-6700,"24.7904194,121.012665",新竹市東區埔頂二路2號,週一至週日07:00-21:00,07:00,21:00
新竹巨城門市,03-533-4613,"24.8094196,120.9752898",新竹市東區民生路99號,週一至週日07:00-22:00,07:00,22:00
新竹市府門市,03-533-5613,"24.8099081,120.9655743",新竹市北區北大路162號,週一至週日07:00-22:00,07:00,22:00
新竹綠光門市,03-515-3566,"24.8107274,120.9852",新竹市東區中華路一段426號,週一至週日07:00-21:00,07:00,21:00
新竹聯發科門市,03-567-0766#33181,"24.771309,121.0189486",新竹市東區力行三路11號,週一至週五07:30-19:00,07:30,19:00
新竹站前門市,03-528-6613,"24.8027491,120.9694084",新竹市東區中正路2號1樓,週一至週日07:00-21:00,07:00,21:00
新竹台積電8廠門市,03-5636688EXT:708165,"24.7627456,121.0171436",新竹市東區力行路25號,週一至週日07:30-19:00,07:30,19:00
新竹台積電7廠門市,03-579-4613,"24.7792129,120.9899197",新竹市東區研新二路6號,週一至週日07:30-19:00,07:30,19:00
新竹食品門市,03-572-5588,"24.798759244590443,120.9791311618639",新竹市東區食品路63號,週一至週日07:00-21:00,07:00,21:00
清大圖書館門市,03-5721613,"24.795224,120.995016",新竹市東區光復路二段101號(國立清華大學圖書館-旺宏館),週一至週日07:30-20:00,07:30,20:00
陽明交通大學門市,03-5722613,"24.788694,120.998667",新竹市大學路1001號女二舍1F,週一至週日07:00-21:00,07:00,21:00
新竹兒童馬偕醫院門市,03-5751360,"24.7970476,121.002867",新竹市東區建功二路28號1F,週一至週五7:00-21:00<br>週末、國定假日7:00-18:00,7:00,21:00
新竹金山門市,03-5790073,"24.7775165,121.0197351",新竹市東區金山六街33號1F,週一至週日07:00-16:00,07:00,16:00
新竹公園,03-5610889,"24.8003202,120.9773452",新竹市東區公園路133號,週一至週五8:00-17:00<br>假日8:00-20:00,8:00,17:00
新竹伊普索門市,03-5720579,"24.798721,121.0055086",新竹市東區公道五路二段111號,週一至週五07:00-18:00,07:00,18:00
竹北光明門市,03-558-8586,"24.830525,121.0159144",新竹縣竹北市光明一路196號,週一至週日07:00-18:00,07:00,18:00
竹北莊敬門市,03-668-2482,"24.821992746128455,121.02657689032038",新竹縣竹北市莊敬五街38號,週一至週日07:00-21:00,07:00,21:00
竹北縣政門市,03-5541-554,"24.82822572968025,121.0102481716163",新竹縣竹北市縣政九路153號,週一至週日06:40-20:30,06:40,20:30
竹北東元門市,03-553-2181,"24.82346444536762,121.01411330819252",新竹縣竹北市縣政二路55號,週一至週日07:00-18:00<br>               店休日另行公告,07:00,18:00
竹東長春門市,03-596-9566,"24.744140766233276,121.08323191519324",新竹縣竹東鎮長春路三段196號,週一至週日07:00-21:00,07:00,21:00
竹北成功門市,03-550-9371,"24.818666921930568,121.0235932108288",新竹縣竹北市成功五街76號,週一至週日07:00-21:00,07:00,21:00
新豐鑫豐門市,03-557-2566,"24.8746775,120.9921089",新竹縣新豐鄉建興路一段155號,週一至週日07:00-19:00,07:00,19:00
六家文興門市,03-550-5633,"24.8084889,121.0307903",新竹縣竹北市文興路二段96號,週一至週日07:00-21:00,07:00,21:00
竹北博愛門市,03-656-5768,"24.8333895,121.0041978",新竹縣竹北市博愛街239號,週一至週日07:00-21:00,07:00,21:00
台元聯發科門市,0982-443-146#24440,"24.8415963,121.0106318",新竹縣竹北市台元街26號3樓之3,週一至週五07:30-20:00,07:30,20:00
竹東站前門市,03-596-1717,"24.7379714,121.0917904",新竹縣竹東鎮北興路2段3號,7:000-19:00,,
國道湖口門市,03-597-7630,"24.857683225553618,121.00987359724148",新竹縣湖口鄉國強街1巷8號,週一至週日07:00-21:00連續假期會配合服務區規定調整營業時間,07:00,21:00
湖口站前門市,03-590-5152,"24.90304505274798,121.04463380407388",新竹縣湖口鄉中山路二段176號,週一至週五06:30-17:00週六日07:00-17:00,06:30,17:00
力成科技門市,03-597-6613,"24.8704506,120.9991942",新竹縣湖口鄉大同路15-1號6樓,,,
竹北嘉豐門市,03-657-9101,"24.8167811,121.0294243",新竹縣竹北市嘉豐一街33號,週一至週日07:00-21:00,07:00,21:00
新竹台積電門市,03-5798401,"24.7717915,121.0111297",新竹縣寶山鄉園區二路166號B1,週一至週五07:30-19:00,07:30,19:00
花蓮民國門市,03-833-9229,"23.97771889043625,121.60372703958338",花蓮縣花蓮市民國路79-3號,週一至週日07:00-21:30,07:00,21:30
高雄文化直營門市,07-722-5830,"22.62436749159621,120.31690201101505",高雄市苓雅區廣州一街141號,週一至週日07:00-21:30,07:00,21:30
高雄裕誠門市,07-557-0199,"22.6654723,120.3073664",高雄市左營區裕誠路366號,7:30-21:30,7:30,21:30
高雄河堤門市,07-359-2613,"22.661285,120.3119733",高雄市三民區明仁路51號,週一至週日07:00-21:00,07:00,21:00
高雄小港門市,0908-272-302,"22.566774799840854,120.36011353962779",高雄市小港區漢民路616號,週一至週日7:00-21:00,7:00,21:00
美術館門市,07-522-6677,"22.6514707,120.2861577",高雄市鼓山區青海路112號,週一至週日7:00-22:00,7:00,22:00
昌盛門市,07-552-7096,"22.6640745,120.296925",高雄市鼓山區昌盛路292號,週一至週日7:30-21:00,7:30,21:00
高雄孟子門市,07-345-3535,"22.6738146,120.310251",高雄市左營區孟子路178-1號,週一至週日07:00-21:00,07:00,21:00
第三波咖啡棧貳庫門市,07-531-0660,"22.6190001,120.2770099",高雄市鼓山區蓬萊路17號櫃號2108,週日至週四10:00-21:00<br>              週五、週六10:00-22:00,10:00,21:00
高醫門市,07-311-1613,"22.6437479,120.3066063",高雄市三民區自由一路56號,週一至週日07:00-21:00,07:00,21:00
大昌覺民門市,07-381-0088,"22.6409559,120.3320359",高雄市三民區大昌二路89號,週一至週日07:00-23:00,07:00,23:00
正興建功門市,07-392-6653,"22.6472629,120.3175863",高雄市三民區正興路173、175號,週一至週日07:00-21:30,07:00,21:30
高醫大校區門市,07-311-2613,"22.6469712,120.3084157",高雄市三民區十全一路100號(國研大樓1F),週一至週五07:00-20:30<br>               週六、週日08:00-16:00,07:00,20:30
高雄澄清門市,07-381-0066,"22.641894140033273,120.3454790974988",高雄市三民區澄清路519號,週一至週日07:00-23:00,07:00,23:00
高雄重愛門市,07-345-4613,"22.6848919,120.3143153",高雄市左營區自由四路320號,週一至週日07:00-22:00,07:00,22:00
高雄重上門市,07-348-1613,"22.6771549,120.3003146",高雄市左營區文萊路284、286號,週一至週日07:00-21:00,07:00,21:00
高雄鼎祥門市,07-359-6007,"22.6663544,120.3160332",高雄市三民區鼎祥街98號,週一至週日07:00-17:30,07:00,17:30
高雄岡山門市,07-623-0095,"22.7921804,120.2948778",高雄市岡山區民有路60號,週一至週日07:00-21:00,07:00,21:00
高雄凹仔底門市,07-556-9292,"22.65829,120.3015828",高雄市左營區忠言路182號,週一至週日07:00-22:30,07:00,22:30
高雄青年仁愛門市,07-215-1277,"22.6223387,120.308762",高雄市新興區青年一路210號,週一至週日07:30-22:30,07:30,22:30
高雄大順建工門市,07-395-0700,"22.6496567,120.3235556",高雄市三民區建工路590號,週一至週日07:00-22:00,07:00,22:00
天祥門市,07-310-9763,"22.667915,120.319245",高雄市三民區天祥一路146-1號,週一至週日07:00-22:30,07:00,22:30
高雄建楠門市,07-355-1187,"22.726743,120.3243513",高雄市楠梓區建楠路145號,週一至週日07:00-22:00,07:00,22:00
高雄龍德門市,07-555-0969,"22.6574007,120.294786",高雄市鼓山區龍德路409號,週一至週日07:00-21:00,07:00,21:00
小港桂林門市,07-791-0613,"22.5832025,120.3577201",高雄市小港區桂華街66號,週一至週日07:00-21:30,07:00,21:30
第三波咖啡高雄大立蔦屋門市,07-241-2613,"22.6217077,120.296092",高雄市前金區五福三路57號2樓,週一至週日11:00-21:30,11:00,21:30
博愛北平門市,07-323-4613,"22.6500622,120.3015128",高雄市三民區博愛一路336號,週一至週日07:00-22:00,07:00,22:00
高雄五甲門市,07-821-7456,"22.5925493,120.3252977",高雄市鳳山區五甲三路35號,週一至週日07:00-23:00,07:00,23:00
高雄一心門市,07-331-1387,"22.611058164622012,120.31111264128896",高雄市前鎮區一心二路39號,週一至週日07:00-22:00,07:00,22:00
高雄覺民門市,07-381-3061,"22.639720636004494,120.33880143943914",高雄市三民區覺民路239-241號,週一至週日07:00-22:00,07:00,22:00
